timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
3054405308,3054404709,-0.99938565,-0.004397372,-0.0136047425,0.032000914,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054455352,3054454661,-0.9993849,-0.004399459,-0.013602832,0.03202425,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054505260,3054504613,-0.99938446,-0.0044085574,-0.013597199,0.032040365,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054555191,3054554564,-0.9993841,-0.004409551,-0.013604264,0.0320471,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054605028,3054604516,-0.9993841,-0.0043942123,-0.013600569,0.032050233,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054655076,3054654468,-0.99938387,-0.0043899543,-0.013615016,0.03205187,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054704938,3054704420,-0.9993838,-0.004392462,-0.013617589,0.032053743,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054754880,3054754372,-0.9993829,-0.0043925084,-0.013618844,0.032079127,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054804865,3054804324,-0.99938214,-0.0043973657,-0.013634685,0.032096338,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054854818,3054854275,-0.999381,-0.0044062166,-0.0136383725,0.032127377,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054904841,3054904227,-0.9993806,-0.0044119307,-0.013618555,0.0321483,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3054954890,3054954179,-0.9993799,-0.004411717,-0.0136206625,0.03217049,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055004805,3055004130,-0.9993794,-0.0043941694,-0.013634223,0.03218301,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055054743,3055054083,-0.9993803,-0.0044019585,-0.013614509,0.032161735,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055104699,3055104034,-0.99938035,-0.0044062114,-0.013629345,0.032151245,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055154674,3055153986,-0.9993806,-0.0043987185,-0.013622852,0.032149646,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055204486,3055203938,-0.9993807,-0.0043917233,-0.013629259,0.032145128,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055254442,3055253890,-0.9993808,-0.0043704174,-0.013609896,0.03214965,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055304368,3055303841,-0.99938047,-0.004368186,-0.013629144,0.032153957,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055354327,3055353793,-0.99938,-0.0043652584,-0.013615234,0.032175217,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055404331,3055403745,-0.9993798,-0.004364826,-0.013600541,0.0321886,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055454253,3055453697,-0.999379,-0.0043666894,-0.013617327,0.032205384,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055504249,3055503649,-0.9993794,-0.004359124,-0.013615545,0.032193772,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055554203,3055553601,-0.99937975,-0.0043844148,-0.013614091,0.032179642,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055604138,3055603552,-0.99938005,-0.0043873414,-0.013636815,0.03216258,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055659091,3055658499,-0.99938136,-0.004380556,-0.013612143,0.032130864,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055704108,3055703456,-0.99938124,-0.0043983175,-0.0136284605,0.032125253,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055753983,3055753408,-0.9993815,-0.004390744,-0.013624125,0.032123312,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055803937,3055803359,-0.9993815,-0.0043786755,-0.013622205,0.032124452,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055853896,3055853311,-0.9993808,-0.004383241,-0.013646572,0.03213316,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055903856,3055903263,-0.99938107,-0.00437617,-0.013601131,0.032146633,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3055953808,3055953215,-0.99938023,-0.0043832366,-0.013629249,0.03215948,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056008708,3056008162,-0.9993798,-0.00437714,-0.0136138415,0.032180388,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056053665,3056053119,-0.99937934,-0.0043736477,-0.013623601,0.03219339,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056103596,3056103071,-0.999379,-0.004375871,-0.013611001,0.03220788,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056153542,3056153022,-0.99937916,-0.0043830243,-0.013596108,0.03220938,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056208494,3056207969,-0.9993784,-0.004394371,-0.013617385,0.032220196,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056253441,3056252926,-0.999379,-0.004385254,-0.0135911405,0.032213677,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056303404,3056302877,-0.9993789,-0.0043868735,-0.013597981,0.03221516,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056358360,3056357824,-0.99937826,-0.0043909466,-0.013617847,0.032225437,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056403339,3056402782,-0.9993784,-0.0043935487,-0.013599828,0.032228332,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
3056453365,3056452733,-0.99937785,-0.00441286,-0.013593564,0.032244235,0.34109193,8.8385166e-10,4.0950401e-10,0.94003,1
