timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
3207976852,3207976485,3670026,0.013422332,0.008628642,-0.00314253,36.96573,0,0,0,0,10
3208977115,3208976800,3670026,0.010173275,0.005912218,-0.008788432,36.995106,0,0,0,0,10
3209978683,3209978365,3670026,0.013582122,-0.0018109495,-0.008415589,36.94125,0,0,0,0,10
3210976586,3210976183,3670026,0.012463594,0.009853696,-0.006711166,36.951042,0,0,0,0,10
3211976827,3211976500,3670026,0.013102753,0.008681905,-0.008948221,36.946144,0,0,0,0,10
3212978378,3212978065,3670026,0.010865698,0.001917476,-0.0058589545,36.970623,0,0,0,0,10
3213976196,3213975884,3670026,0.0092678005,0.0056991647,-0.0080960095,36.93635,0,0,0,0,10
3214976550,3214976200,3670026,0.014114754,0.0026098979,-0.010279802,36.970623,0,0,0,0,10
3215978122,3215977766,3670026,0.0139549645,0.001438107,-0.0045273737,37.05875,0,0,0,0,10
3216978396,3216978084,3670026,0.0133690685,-0.0049002166,-0.00644485,37.02448,0,0,0,0,10
3217976264,3217975903,3670026,0.010599381,0.008468852,-0.008309063,37.004894,0,0,0,0,10
3218976538,3218976221,3670026,0.012357067,0.011291803,-0.008522116,37.019585,0,0,0,0,10
3219978104,3219977787,3670026,0.010279802,-0.00079894834,-0.005752428,37.004894,0,0,0,0,10
3220975995,3220975607,3670026,0.006764429,0.007723167,-0.0058589545,37.009792,0,0,0,0,10
3221976287,3221975925,3670026,0.011291803,0.0020240024,-0.00942759,37.004894,0,0,0,0,10
3222977848,3222977492,3670026,0.010652645,0.0010652645,-0.005592638,37.029377,0,0,0,0,10
3223978129,3223977810,3670026,0.015659388,-0.0002663161,-0.008628642,37.07344,0,0,0,0,10
3224975979,3224975631,3670026,0.010918961,0.00644485,-0.0063915867,36.97552,0,0,0,0,10
3225977549,3225977199,3670026,0.006711166,0.0010120012,-0.0046339002,37.10771,0,0,0,0,10
3226977834,3226977518,3670026,-0.25001755,0.11307782,-0.27057716,37.044064,0,0,0,0,10
3227975693,3227975339,3670026,0.036005937,-0.039201733,-0.13677995,36.995106,0,0,0,0,10
3228977256,3228976907,3670026,0.0813862,0.039894152,-0.38370824,37.03917,0,0,0,0,10
3229977546,3229977226,3670026,-0.22061627,0.103863284,0.06785735,37.07344,0,0,0,0,10
3230979208,3230978795,3670026,0.10205233,0.32378712,-0.47745153,37.019585,0,0,0,0,10
3231975692,3231975368,3670026,0.2580603,-0.19904466,-0.008575379,37.04896,0,0,0,0,10
3232977251,3232976936,3670026,-0.14269218,0.5838182,0.21875206,37.019585,0,0,0,0,10
3233977602,3233977256,3670026,0.12735236,-0.019654129,0.039894152,37.068542,0,0,0,0,10
3234975390,3234975078,3670026,0.012037489,0.00031957933,0.019973708,37.083233,0,0,0,0,10
3235976957,3235976646,3670026,0.008575379,-0.015286544,0.03904194,37.06365,0,0,0,0,10
3236977310,3236976966,3670026,0.012410331,0.011185276,-0.011451593,37.088127,0,0,0,0,10
3237978890,3237978535,3670026,-0.7866978,-0.343388,-0.5021124,37.06365,0,0,0,0,10
3238976675,3238976358,3670026,-0.16591494,0.2880475,-0.2727077,37.05875,0,0,0,0,10
3239977035,3239976677,3670026,-0.17299895,0.010226538,0.0027164244,37.03427,0,0,0,0,10
3240978678,3240978246,3670026,0.33103094,0.086233154,0.24868599,37.083233,0,0,0,0,10
3241975173,3241974820,3670026,-0.10546118,-0.04958806,0.49843723,37.068542,0,0,0,0,10
3242976709,3242976388,3670026,0.06625945,-0.0023435818,0.39404133,37.102814,0,0,0,0,10
3243977055,3243976708,3670026,0.14519554,-0.11717909,1.3854829,37.093025,0,0,0,0,10
3244978620,3244978277,3670026,-0.10913634,0.032810144,0.3750796,37.078335,0,0,0,0,10
3245976417,3245976099,3670026,0.0104395915,0.017310547,-0.06732471,37.019585,0,0,0,0,10
3246976775,3246976418,3670026,0.02530003,-0.041758366,-0.675857,37.102814,0,0,0,0,10
3247978339,3247977987,3670026,0.061412495,0.049481533,-0.49582735,37.05875,0,0,0,0,10
3248976125,3248975808,3670026,0.012623384,0.01917476,-0.06263755,37.093025,0,0,0,0,10
3249976475,3249976127,3670026,0.039254993,-0.046232477,0.528744,37.02448,0,0,0,0,10
3250978136,3250977695,3670026,0.04580637,-0.11345066,0.30381343,37.019585,0,0,0,0,10
3251978331,3251978014,3670026,0.010759171,-0.022796659,0.19254655,37.068542,0,0,0,0,10
3252976188,3252975835,3670026,-0.059921123,0.19920444,-0.020506341,37.004894,0,0,0,0,10
3253977748,3253977402,3670026,0.084262416,-0.025992453,-0.083090626,37.03917,0,0,0,0,10
3254978033,3254977721,3670026,0.021678131,-0.06492787,-0.022903185,37.078335,0,0,0,0,10
3255975885,3255975541,3670026,-0.07408914,0.10918961,0.25832662,37.02448,0,0,0,0,10
3256976184,3256975860,3670026,0.07595336,-0.0515588,0.048682585,37.014687,0,0,0,0,10
3257977739,3257977426,3670026,-0.0058056912,0.06785735,-0.12921658,37.014687,0,0,0,0,10
3258978099,3258977744,3670026,0.03850931,-0.16261262,-0.20410466,36.990208,0,0,0,0,10
3259975878,3259975564,3670026,-0.114462666,0.014700649,-0.46078014,37.05875,0,0,0,0,10
3260977532,3260977130,3670026,0.031798143,-0.077924095,-0.31941953,37.004894,0,0,0,0,10
3261977793,3261977447,3670026,0.08010788,0.03158509,-0.41673145,36.990208,0,0,0,0,10
3262975585,3262975267,3670026,-0.04117247,-0.018482339,-0.21726069,36.970623,0,0,0,0,10
3263977147,3263976832,3670026,-0.14615428,-0.034461305,-0.17006947,37.004894,0,0,0,0,10
3264977503,3264977149,3670026,0.22572954,-0.042077944,-0.16255936,36.960835,0,0,0,0,10
3265979073,3265978714,3670026,-0.095287904,-0.01304949,-0.3537743,36.946144,0,0,0,0,10
3266975627,3266975283,3670026,0.10908308,-0.17694043,0.086233154,36.990208,0,0,0,0,10
3267977167,3267976848,3670026,0.07201187,0.0041545313,0.06743124,36.990208,0,0,0,0,10
3268978761,3268978413,3670026,-0.012037489,0.09358348,0.005113269,36.90208,0,0,0,0,10
3269975338,3269974981,3670026,0.027750138,-0.082398206,-0.042663842,36.921665,0,0,0,0,10
3270976976,3270976545,3670026,0.029454561,0.1117995,0.2908172,36.946144,0,0,0,0,10
3271977213,3271976860,3670026,0.07360977,0.03222425,0.5683186,36.946144,0,0,0,0,10
3272978771,3272978423,3670026,0.024660872,0.16431704,0.11558119,36.848225,0,0,0,0,10
3273976551,3273976240,3670026,-0.08511463,-0.12745889,-0.11787151,36.93635,0,0,0,0,10
3274976916,3274976555,3670026,-0.07185209,-0.38093856,0.041012682,36.92656,0,0,0,0,10
3275978460,3275978117,3670026,0.17342505,-0.517612,-0.062424496,36.86781,0,0,0,0,10
3276975039,3276974683,3670026,0.1251153,0.122185834,-0.06615292,36.897186,0,0,0,0,10
3277976566,3277976245,3670026,0.09289106,0.033981934,-0.059122175,36.90698,0,0,0,0,10
3278978154,3278977807,3670026,-0.061412495,-0.023435818,-0.17156084,36.862915,0,0,0,0,10
3279978472,3279978120,3670026,0.003834952,-0.11297129,0.06796387,36.86781,0,0,0,0,10
3280976314,3280975934,3670026,0.068656296,-0.116433404,-0.4744155,36.80416,0,0,0,0,10
3281976597,3281976246,3670026,-0.23270702,0.11899004,0.17449032,36.84333,0,0,0,0,10
3282978154,3282977806,3670026,0.0066579026,-0.07829694,-0.31015176,36.853123,0,0,0,0,10
3283975935,3283975620,3670026,0.12250541,-0.20746025,-0.7204916,36.82864,0,0,0,0,10
3284976277,3284975930,3670026,0.09432916,-0.01736381,-0.21459752,36.813953,0,0,0,0,10
3285977838,3285977490,3670026,-0.027803402,0.13933659,-0.09922938,36.784576,0,0,0,0,10
3286978136,3286977805,3670026,0.016777916,0.23600933,-0.13219932,36.789474,0,0,0,0,10
3287975966,3287975612,3670026,0.05107943,-0.25837988,0.0025566346,36.681763,0,0,0,0,10
3288977527,3288977170,3670026,-0.120907515,-0.17640778,-0.16181366,36.799267,0,0,0,0,10
3289977798,3289977479,3670026,0.10860371,-0.094009586,0.047990162,36.779682,0,0,0,0,10
3290975702,3290975290,3670026,0.022743396,0.029667614,-0.84075993,36.716034,0,0,0,0,10
3291977205,3291976848,3670026,-0.081918836,-0.113503926,-0.7274158,36.774784,0,0,0,0,10
3292977475,3292977156,3670026,0.027217507,-0.019281287,0.07590009,36.70624,0,0,0,0,10
3293975302,3293974966,3670026,-0.08857674,-0.025193503,0.24048345,36.652386,0,0,0,0,10
3294975621,3294975274,3670026,0.012037489,-0.07898936,-0.022690132,36.6377,0,0,0,0,10
3295977177,3295976830,3670026,0.0793622,0.046498794,0.1645301,36.681763,0,0,0,0,10
3296978733,3296978385,3670026,-0.13401027,-0.14162691,0.10956245,36.64749,0,0,0,0,10
3297975496,3297974946,3670026,0.07856325,-0.12713932,-0.029081719,36.632805,0,0,0,0,10
3298976862,3298976499,3670026,0.06306365,-0.09092032,0.6710101,36.554466,0,0,0,0,10
3299977120,3299976805,3670026,-0.087085366,-0.115740985,0.5170261,36.632805,0,0,0,0,10
3300978753,3300978359,3670026,0.047404267,0.010386328,0.20330572,36.632805,0,0,0,0,10
3301976516,3301976165,3670026,0.17033578,-0.0068176924,0.12197278,36.569157,0,0,0,0,10
3302976791,3302976469,3670026,-0.042077944,-0.010812434,0.26557043,36.57405,0,0,0,0,10
3303978334,3303978021,3670026,-0.020133497,-0.2034655,0.11861719,36.57405,0,0,0,0,10
3304976177,3304975827,3670026,-0.011345066,-0.17880464,-0.016618125,36.57895,0,0,0,0,10
3305976451,3305976129,3670026,0.05336975,0.06641924,-0.07222493,36.554466,0,0,0,0,10
3306977994,3306977679,3670026,0.021891184,-0.22077605,0.07712515,36.53978,0,0,0,0,10
3307978517,3307977984,3670026,0.012463594,-0.031318776,0.11089403,36.50061,0,0,0,0,10
3308976104,3308975783,3670026,0.0035686358,-0.06391586,-0.15350461,36.47613,0,0,0,0,10
3309977646,3309977332,3670026,-0.21960427,-0.0110254865,-0.20714067,36.436966,0,0,0,0,10
3310978035,3310977632,3670026,-0.020080235,0.122665204,0.054115433,36.392902,0,0,0,0,10
3311975750,3311975433,3670026,0.07387609,0.1257012,0.2883671,36.422276,0,0,0,0,10
3312976101,3312975731,3670026,0.07078682,-0.11914983,0.73854786,36.397797,0,0,0,0,10
3313977625,3313977277,3670026,0.18471685,-0.04181163,0.24937841,36.31946,0,0,0,0,10
3314975391,3314975077,3670026,0.07680557,-0.14082795,0.3054113,36.304775,0,0,0,0,10
3315975718,3315975373,3670026,0.028975192,-0.02098571,-0.116326876,36.304775,0,0,0,0,10
3316977258,3316976917,3670026,-0.04063984,0.11249193,0.09502159,36.299877,0,0,0,0,10
3317977719,3317977214,3670026,0.09491506,0.08777779,-0.01667139,36.2705,0,0,0,0,10
3318975363,3318975009,3670026,-0.0459129,-0.14737934,0.024074977,36.26071,0,0,0,0,10
3319976898,3319976552,3670026,0.037923414,-0.0670584,-0.06657903,36.294983,0,0,0,0,10
