timestamp,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,rotational_movement,close_to_ground_or_skipped_check,at_rest
3288030243,0,1,1,1,1,1,1,0,0,0,1,0
3289040381,0,1,1,1,1,1,1,1,0,0,1,0
3290048343,0,1,1,1,1,1,1,0,0,0,1,0
3291058603,0,1,1,1,1,1,1,0,0,0,1,0
3292066558,0,1,1,1,1,1,1,0,0,0,1,0
3293076761,0,1,1,1,1,1,1,0,0,0,1,0
3294084676,0,1,1,1,1,1,1,0,0,0,1,0
3295094834,0,1,1,1,1,1,1,0,0,0,1,0
3296102821,0,1,1,1,1,1,1,0,0,0,1,0
3297111843,0,1,1,1,1,1,1,0,0,0,1,0
3298121970,0,1,1,1,1,1,1,0,0,0,1,0
3299130099,0,1,1,1,1,1,1,0,0,0,1,0
3300139822,0,1,1,1,1,1,1,0,0,0,1,0
3301148037,0,1,1,1,1,1,1,0,0,0,1,0
3302158078,0,1,1,1,1,1,1,0,0,0,1,0
3303166105,0,1,1,1,1,1,1,0,0,0,1,0
3304176214,0,1,1,1,1,1,1,0,0,0,1,0
3305184154,0,1,1,1,1,1,1,1,0,0,1,0
3306194224,0,1,1,1,1,1,1,0,0,0,1,0
3307202383,0,1,1,1,1,1,1,1,0,0,1,0
3308211271,0,1,1,1,1,1,1,0,0,0,1,0
3309221280,0,1,1,1,1,1,1,0,0,0,1,0
3310229413,0,1,1,1,1,1,1,0,0,0,1,0
3311239384,0,1,1,1,1,1,1,0,0,0,1,0
3312247515,0,1,1,1,1,1,1,0,0,0,1,0
3313257487,0,1,1,1,1,1,1,0,0,0,1,0
3314265824,0,1,1,1,1,1,1,0,0,0,1,0
3315275624,0,1,1,1,1,1,1,0,0,0,1,0
3316283559,0,1,1,1,1,1,1,0,0,0,1,0
3317293647,0,1,1,1,1,1,1,1,0,0,1,0
3318302659,0,1,1,1,1,1,1,0,0,0,1,0
3319310704,0,1,1,1,1,1,1,1,0,0,1,0
3320320741,0,1,1,1,1,1,1,0,0,0,1,0
3321328780,0,1,1,1,1,1,1,0,0,0,1,0
3322338758,0,1,1,1,1,1,1,0,0,0,1,0
3323347020,0,1,1,1,1,1,1,0,0,0,1,0
3324357007,0,1,1,1,1,1,1,0,0,0,1,0
3325364985,0,1,1,1,1,1,1,0,0,0,1,0
3326375108,0,1,1,1,1,1,1,0,0,0,1,0
3327382956,0,1,1,1,1,1,1,0,0,0,1,0
3328383168,0,1,1,1,1,1,1,0,0,0,1,0
3329390980,0,1,1,1,1,1,1,0,0,0,1,0
3330401072,0,1,1,1,1,1,1,0,0,0,1,0
3331409111,0,1,1,1,1,1,1,0,0,0,1,0
3332419146,0,1,1,1,1,1,1,0,0,0,1,0
3333427159,0,1,1,1,1,1,1,0,0,0,1,0
3334437320,0,1,1,1,1,1,1,0,0,0,1,0
3335445212,0,1,1,1,1,1,1,0,0,0,1,0
3336455320,0,1,1,1,1,1,1,0,0,0,1,0
3337463301,0,1,1,1,1,1,1,0,0,0,1,0
3338473405,0,1,1,1,1,1,1,0,0,0,1,0
3339482446,0,1,1,1,1,1,1,0,0,0,1,0
3340490471,0,1,1,1,1,1,1,0,0,0,1,0
3341500265,0,1,1,1,1,1,1,0,0,0,1,0
3342508385,0,1,1,1,1,1,1,1,0,0,1,0
3343518436,0,1,1,1,1,1,1,0,0,0,1,0
3344526434,0,1,1,1,1,1,1,0,0,0,1,0
3345536353,0,1,1,1,1,1,1,0,0,0,1,0
3346544445,0,1,1,1,1,1,1,1,0,0,1,0
3347554423,0,1,1,1,1,1,1,0,0,0,1,0
3348562419,0,1,1,1,1,1,1,0,0,0,1,0
3349562500,0,1,1,1,1,1,1,0,0,0,1,0
3350570533,0,1,1,1,1,1,1,0,0,0,1,0
3351580527,0,1,1,1,1,1,1,0,0,0,1,0
3352588783,0,1,1,1,1,1,1,0,0,0,1,0
3353598831,0,1,1,1,1,1,1,0,0,0,1,0
3354606590,0,1,1,1,1,1,1,0,0,0,1,0
3355616642,0,1,1,1,1,1,1,0,0,0,1,0
3356624706,0,1,1,1,1,1,1,0,0,0,1,0
3357634535,0,1,1,1,1,1,1,0,0,0,1,0
3358642678,0,1,1,1,1,1,1,0,0,0,1,0
3359642720,0,1,1,1,1,1,1,0,0,0,1,0
3360650750,0,1,1,1,1,1,1,0,0,0,1,0
3361660670,0,1,1,1,1,1,1,0,0,0,1,0
3362668803,0,1,1,1,1,1,1,0,0,0,1,0
3363678952,0,1,1,1,1,1,1,0,0,0,1,0
