timestamp,imbalanced_prop_metric,motor_failure_mask,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_battery,fd_imbalanced_prop,fd_motor
3214084622,0.005636457,0,0,0,0,0,0,0,0,0
3214595420,0.005605506,0,0,0,0,0,0,0,0,0
3215105556,0.00627912,0,0,0,0,0,0,0,0,0
3215616324,0.0059035458,0,0,0,0,0,0,0,0,0
3216127598,0.005780846,0,0,0,0,0,0,0,0,0
3216638238,0.005570571,0,0,0,0,0,0,0,0,0
3217148462,0.0052058515,0,0,0,0,0,0,0,0,0
3217659320,0.0058420077,0,0,0,0,0,0,0,0,0
3218169289,0.0063939523,0,0,0,0,0,0,0,0,0
3218680295,0.00711759,0,0,0,0,0,0,0,0,0
3219191486,0.0069591063,0,0,0,0,0,0,0,0,0
3219701367,0.0067387046,0,0,0,0,0,0,0,0,0
3220211555,0.006112412,0,0,0,0,0,0,0,0,0
3220723291,0.010015166,0,0,0,0,0,0,0,0,0
3221234024,0.009235815,0,0,0,0,0,0,0,0,0
3221744391,0.008668162,0,0,0,0,0,0,0,0,0
3222253288,0.008481577,0,0,0,0,0,0,0,0,0
3222753476,0.0084863445,0,0,0,0,0,0,0,0,0
3223263699,0.010066773,0,0,0,0,0,0,0,0,0
3223775006,0.011731816,0,0,0,0,0,0,0,0,0
3224284598,0.011916972,0,0,0,0,0,0,0,0,0
3224785406,0.012023734,0,0,0,0,0,0,0,0,0
3225294801,0.012118388,0,0,0,0,0,0,0,0,0
3225805637,0.010987511,0,0,0,0,0,0,0,0,0
3226316315,0.013512387,0,0,0,0,0,0,0,0,0
3226826380,0.017940361,0,0,0,0,0,0,0,0,0
3227327239,0.025455792,0,0,0,0,0,0,0,0,0
3227838448,0.03188217,0,0,0,0,0,0,0,0,0
3228339396,0.035684343,0,0,0,0,0,0,0,0,0
3228849288,0.03323624,0,0,0,0,0,0,0,0,0
3229349693,0.037507433,0,0,0,0,0,0,0,0,0
3229859430,0.034740876,0,0,0,0,0,0,0,0,0
3230370587,0.043765485,0,0,0,0,0,0,0,0,0
3230881328,0.04515094,0,0,0,0,0,0,0,0,0
3231391343,0.046520613,0,0,0,0,0,0,0,0,0
3231894001,0.03945708,0,0,0,0,0,0,0,0,0
3232404291,0.03801428,0,0,0,0,0,0,0,0,0
3232904329,0.03560893,0,0,0,0,0,0,0,0,0
3233404524,0.013536784,0,0,0,0,0,0,0,0,0
3233915655,0.0153359575,0,0,0,0,0,0,0,0,0
3234425400,-0.010373213,0,0,0,0,0,0,0,0,0
3234925935,-0.0020640958,0,0,0,0,0,0,0,0,0
3235435460,0.0020473758,0,0,0,0,0,0,0,0,0
3235946290,0.018495478,0,0,0,0,0,0,0,0,0
3236456339,0.037822638,0,0,0,0,0,0,0,0,0
3236968364,0.036724035,0,0,0,0,0,0,0,0,0
3237479106,0.027550103,0,0,0,0,0,0,0,0,0
3237989354,0.021113718,0,0,0,0,0,0,0,0,0
3238499365,0.027474772,0,0,0,0,0,0,0,0,0
3239001290,0.03935839,0,0,0,0,0,0,0,0,0
3239511326,0.02951258,0,0,0,0,0,0,0,0,0
3240013307,0.022965709,0,0,0,0,0,0,0,0,0
3240524885,-0.0021470066,0,0,0,0,0,0,0,0,0
3241035767,-0.025030848,0,0,0,0,0,0,0,0,0
3241545600,-0.03135389,0,0,0,0,0,0,0,0,0
3242056889,-0.025491139,0,0,0,0,0,0,0,0,0
3242566324,-0.037381347,0,0,0,0,0,0,0,0,0
3243077435,-0.04464866,0,0,0,0,0,0,0,0,0
3243587496,-0.045421742,0,0,0,0,0,0,0,0,0
3244097364,-0.05112085,0,0,0,0,0,0,0,0,0
3244607331,-0.06095539,0,0,0,0,0,0,0,0,0
