timestamp,flag_armed,flag_multicopter_position_control_enabled,flag_control_manual_enabled,flag_control_auto_enabled,flag_control_offboard_enabled,flag_control_rates_enabled,flag_control_attitude_enabled,flag_control_acceleration_enabled,flag_control_velocity_enabled,flag_control_position_enabled,flag_control_altitude_enabled,flag_control_climb_rate_enabled,flag_control_termination_enabled
3243077426,0,1,0,1,0,1,1,0,1,1,1,1,0
3243587486,0,1,0,1,0,1,1,0,1,1,1,1,0
3244097355,0,1,0,1,0,1,1,0,1,1,1,1,0
3244607321,0,1,0,1,0,1,1,0,1,1,1,1,0
3245108279,0,1,0,1,0,1,1,0,1,1,1,1,0
3245618278,0,1,0,1,0,1,1,0,1,1,1,1,0
3246128278,0,1,0,1,0,1,1,0,1,1,1,1,0
3246629602,0,1,0,1,0,1,1,0,1,1,1,1,0
3247139676,0,1,0,1,0,1,1,0,1,1,1,1,0
3247650310,0,1,0,1,0,1,1,0,1,1,1,1,0
3248160346,0,1,0,1,0,1,1,0,1,1,1,1,0
3248660378,0,1,0,1,0,1,1,0,1,1,1,1,0
3249170402,0,1,0,1,0,1,1,0,1,1,1,1,0
3249671279,0,1,0,1,0,1,1,0,1,1,1,1,0
3250171463,0,1,0,1,0,1,1,0,1,1,1,1,0
3250682824,0,1,0,1,0,1,1,0,1,1,1,1,0
3251193286,0,1,0,1,0,1,1,0,1,1,1,1,0
3251693440,0,1,0,1,0,1,1,0,1,1,1,1,0
3252204015,0,1,0,1,0,1,1,0,1,1,1,1,0
3252714578,0,1,0,1,0,1,1,0,1,1,1,1,0
3253225391,0,1,0,1,0,1,1,0,1,1,1,1,0
3253735569,0,1,0,1,0,1,1,0,1,1,1,1,0
3254245585,0,1,0,1,0,1,1,0,1,1,1,1,0
3254755610,0,1,0,1,0,1,1,0,1,1,1,1,0
3255255924,0,1,0,1,0,1,1,0,1,1,1,1,0
3255765483,0,1,0,1,0,1,1,0,1,1,1,1,0
3256276310,0,1,0,1,0,1,1,0,1,1,1,1,0
3256786474,0,1,0,1,0,1,1,0,1,1,1,1,0
3257297798,0,1,0,1,0,1,1,0,1,1,1,1,0
3257808923,0,1,0,1,0,1,1,0,1,1,1,1,0
3258319454,0,1,0,1,0,1,1,0,1,1,1,1,0
3258829277,0,1,0,1,0,1,1,0,1,1,1,1,0
3259329321,0,1,0,1,0,1,1,0,1,1,1,1,0
3259839352,0,1,0,1,0,1,1,0,1,1,1,1,0
3260339425,0,1,0,1,0,1,1,0,1,1,1,1,0
3260850390,0,1,0,1,0,1,1,0,1,1,1,1,0
3261360278,0,1,0,1,0,1,1,0,1,1,1,1,0
3261860397,0,1,0,1,0,1,1,0,1,1,1,1,0
3262370345,0,1,0,1,0,1,1,0,1,1,1,1,0
3262881374,0,1,0,1,0,1,1,0,1,1,1,1,0
3263391520,0,1,0,1,0,1,1,0,1,1,1,1,0
3263903047,0,1,0,1,0,1,1,0,1,1,1,1,0
3264414038,0,1,0,1,0,1,1,0,1,1,1,1,0
3264923354,0,1,0,1,0,1,1,0,1,1,1,1,0
3265433404,0,1,0,1,0,1,1,0,1,1,1,1,0
3265944376,0,1,0,1,0,1,1,0,1,1,1,1,0
3266454320,0,1,0,1,0,1,1,0,1,1,1,1,0
3266954752,0,1,0,1,0,1,1,0,1,1,1,1,0
3267464384,0,1,0,1,0,1,1,0,1,1,1,1,0
3267975431,0,1,0,1,0,1,1,0,1,1,1,1,0
3268485931,0,1,0,1,0,1,1,0,1,1,1,1,0
3268996364,0,1,0,1,0,1,1,0,1,1,1,1,0
3269508044,0,1,0,1,0,1,1,0,1,1,1,1,0
3270018605,0,1,0,1,0,1,1,0,1,1,1,1,0
3270529322,0,1,0,1,0,1,1,0,1,1,1,1,0
3271030353,0,1,0,1,0,1,1,0,1,1,1,1,0
3271530467,0,1,0,1,0,1,1,0,1,1,1,1,0
3272040278,0,1,0,1,0,1,1,0,1,1,1,1,0
3272551312,0,1,0,1,0,1,1,0,1,1,1,1,0
3273061428,0,1,0,1,0,1,1,0,1,1,1,1,0
3273572679,0,1,0,1,0,1,1,0,1,1,1,1,0
3274082278,0,1,0,1,0,1,1,0,1,1,1,1,0
3274583198,0,1,0,1,0,1,1,0,1,1,1,1,0
3275093797,0,1,0,1,0,1,1,0,1,1,1,1,0
3275604575,0,1,0,1,0,1,1,0,1,1,1,1,0
3276115461,0,1,0,1,0,1,1,0,1,1,1,1,0
3276615922,0,1,0,1,0,1,1,0,1,1,1,1,0
3277125449,0,1,0,1,0,1,1,0,1,1,1,1,0
3277625966,0,1,0,1,0,1,1,0,1,1,1,1,0
3278135548,0,1,0,1,0,1,1,0,1,1,1,1,0
3278646346,0,1,0,1,0,1,1,0,1,1,1,1,0
3279156322,0,1,0,1,0,1,1,0,1,1,1,1,0
3279656419,0,1,0,1,0,1,1,0,1,1,1,1,0
3280167848,0,1,0,1,0,1,1,0,1,1,1,1,0
3280678593,0,1,0,1,0,1,1,0,1,1,1,1,0
3281189064,0,1,0,1,0,1,1,0,1,1,1,1,0
3281699499,0,1,0,1,0,1,1,0,1,1,1,1,0
3282210624,0,1,0,1,0,1,1,0,1,1,1,1,0
3282721280,0,1,0,1,0,1,1,0,1,1,1,1,0
3283222313,0,1,0,1,0,1,1,0,1,1,1,1,0
3283732278,0,1,0,1,0,1,1,0,1,1,1,1,0
3284242277,0,1,0,1,0,1,1,0,1,1,1,1,0
3284755054,0,1,0,1,0,1,1,0,1,1,1,1,0
3285256353,0,1,0,1,0,1,1,0,1,1,1,1,0
3285766279,0,1,0,1,0,1,1,0,1,1,1,1,0
3286266651,0,1,0,1,0,1,1,0,1,1,1,1,0
3286777384,0,1,0,1,0,1,1,0,1,1,1,1,0
3287288576,0,1,0,1,0,1,1,0,1,1,1,1,0
3287798398,0,1,0,1,0,1,1,0,1,1,1,1,0
3288310242,0,1,0,1,0,1,1,0,1,1,1,1,0
3288820983,0,1,0,1,0,1,1,0,1,1,1,1,0
3289331278,0,1,0,1,0,1,1,0,1,1,1,1,0
3289841279,0,1,0,1,0,1,1,0,1,1,1,1,0
3290341344,0,1,0,1,0,1,1,0,1,1,1,1,0
3290851281,0,1,0,1,0,1,1,0,1,1,1,1,0
3291351359,0,1,0,1,0,1,1,0,1,1,1,1,0
3291851606,0,1,0,1,0,1,1,0,1,1,1,1,0
3292361927,0,1,0,1,0,1,1,0,1,1,1,1,0
3292872345,0,1,0,1,0,1,1,0,1,1,1,1,0
3293382569,0,1,0,1,0,1,1,0,1,1,1,1,0
3293885105,0,1,0,1,0,1,1,0,1,1,1,1,0
3294395804,0,1,0,1,0,1,1,0,1,1,1,1,0
3294906535,0,1,0,1,0,1,1,0,1,1,1,1,0
3295416279,0,1,0,1,0,1,1,0,1,1,1,1,0
3295916374,0,1,0,1,0,1,1,0,1,1,1,1,0
3296426625,0,1,0,1,0,1,1,0,1,1,1,1,0
3296927319,0,1,0,1,0,1,1,0,1,1,1,1,0
3297437360,0,1,0,1,0,1,1,0,1,1,1,1,0
3297938277,0,1,0,1,0,1,1,0,1,1,1,1,0
3298438341,0,1,0,1,0,1,1,0,1,1,1,1,0
3298950652,0,1,0,1,0,1,1,0,1,1,1,1,0
3299460737,0,1,0,1,0,1,1,0,1,1,1,1,0
3299971279,0,1,0,1,0,1,1,0,1,1,1,1,0
3300481280,0,1,0,1,0,1,1,0,1,1,1,1,0
3300981332,0,1,0,1,0,1,1,0,1,1,1,1,0
3301481382,0,1,0,1,0,1,1,0,1,1,1,1,0
3301991321,0,1,0,1,0,1,1,0,1,1,1,1,0
3302501475,0,1,0,1,0,1,1,0,1,1,1,1,0
3303012278,0,1,0,1,0,1,1,0,1,1,1,1,0
3303523279,0,1,0,1,0,1,1,0,1,1,1,1,0
3304033426,0,1,0,1,0,1,1,0,1,1,1,1,0
3304545021,0,1,0,1,0,1,1,0,1,1,1,1,0
3305055738,0,1,0,1,0,1,1,0,1,1,1,1,0
3305555950,0,1,0,1,0,1,1,0,1,1,1,1,0
3306065424,0,1,0,1,0,1,1,0,1,1,1,1,0
3306575390,0,1,0,1,0,1,1,0,1,1,1,1,0
3307075532,0,1,0,1,0,1,1,0,1,1,1,1,0
3307587014,0,1,0,1,0,1,1,0,1,1,1,1,0
3308097384,0,1,0,1,0,1,1,0,1,1,1,1,0
3308608280,0,1,0,1,0,1,1,0,1,1,1,1,0
3309118531,0,1,0,1,0,1,1,0,1,1,1,1,0
3309630192,0,1,0,1,0,1,1,0,1,1,1,1,0
3310141082,0,1,0,1,0,1,1,0,1,1,1,1,0
3310651412,0,1,0,1,0,1,1,0,1,1,1,1,0
3311161346,0,1,0,1,0,1,1,0,1,1,1,1,0
3311672726,0,1,0,1,0,1,1,0,1,1,1,1,0
3312182319,0,1,0,1,0,1,1,0,1,1,1,1,0
3312693281,0,1,0,1,0,1,1,0,1,1,1,1,0
3313203468,0,1,0,1,0,1,1,0,1,1,1,1,0
3313714280,0,1,0,1,0,1,1,0,1,1,1,1,0
3314225923,0,1,0,1,0,1,1,0,1,1,1,1,0
3314736366,0,1,0,1,0,1,1,0,1,1,1,1,0
3315246488,0,1,0,1,0,1,1,0,1,1,1,1,0
3315757283,0,1,0,1,0,1,1,0,1,1,1,1,0
3316267353,0,1,0,1,0,1,1,0,1,1,1,1,0
3316778324,0,1,0,1,0,1,1,0,1,1,1,1,0
3317288376,0,1,0,1,0,1,1,0,1,1,1,1,0
3317799325,0,1,0,1,0,1,1,0,1,1,1,1,0
3318302866,0,1,0,1,0,1,1,0,1,1,1,1,0
3318813411,0,1,0,1,0,1,1,0,1,1,1,1,0
3319323785,0,1,0,1,0,1,1,0,1,1,1,1,0
3319834317,0,1,0,1,0,1,1,0,1,1,1,1,0
3320344483,0,1,0,1,0,1,1,0,1,1,1,1,0
3320855424,0,1,0,1,0,1,1,0,1,1,1,1,0
3321365664,0,1,0,1,0,1,1,0,1,1,1,1,0
3321876441,0,1,0,1,0,1,1,0,1,1,1,1,0
3322387990,0,1,0,1,0,1,1,0,1,1,1,1,0
3322898609,0,1,0,1,0,1,1,0,1,1,1,1,0
3323408303,0,1,0,1,0,1,1,0,1,1,1,1,0
3323919418,0,1,0,1,0,1,1,0,1,1,1,1,0
3324430573,0,1,0,1,0,1,1,0,1,1,1,1,0
3324940278,0,1,0,1,0,1,1,0,1,1,1,1,0
3325440423,0,1,0,1,0,1,1,0,1,1,1,1,0
3325951324,0,1,0,1,0,1,1,0,1,1,1,1,0
3326461281,0,1,0,1,0,1,1,0,1,1,1,1,0
3326971279,0,1,0,1,0,1,1,0,1,1,1,1,0
3327474218,0,1,0,1,0,1,1,0,1,1,1,1,0
3327984417,0,1,0,1,0,1,1,0,1,1,1,1,0
3328485392,0,1,0,1,0,1,1,0,1,1,1,1,0
3328996354,0,1,0,1,0,1,1,0,1,1,1,1,0
3329506474,0,1,0,1,0,1,1,0,1,1,1,1,0
3330016278,0,1,0,1,0,1,1,0,1,1,1,1,0
3330526278,0,1,0,1,0,1,1,0,1,1,1,1,0
3331026830,0,1,0,1,0,1,1,0,1,1,1,1,0
3331537322,0,1,0,1,0,1,1,0,1,1,1,1,0
3332047280,0,1,0,1,0,1,1,0,1,1,1,1,0
3332559411,0,1,0,1,0,1,1,0,1,1,1,1,0
3333069442,0,1,0,1,0,1,1,0,1,1,1,1,0
3333580321,0,1,0,1,0,1,1,0,1,1,1,1,0
3334090281,0,1,0,1,0,1,1,0,1,1,1,1,0
3334590724,0,1,0,1,0,1,1,0,1,1,1,1,0
3335100390,0,1,0,1,0,1,1,0,1,1,1,1,0
3335602322,0,1,0,1,0,1,1,0,1,1,1,1,0
3336112282,0,1,0,1,0,1,1,0,1,1,1,1,0
3336624205,0,1,0,1,0,1,1,0,1,1,1,1,0
3337135205,0,1,0,1,0,1,1,0,1,1,1,1,0
3337645421,0,1,0,1,0,1,1,0,1,1,1,1,0
3338146281,0,1,0,1,0,1,1,0,1,1,1,1,0
3338657158,0,1,0,1,0,1,1,0,1,1,1,1,0
3339166432,0,1,0,1,0,1,1,0,1,1,1,1,0
3339677281,0,1,0,1,0,1,1,0,1,1,1,1,0
3340187531,0,1,0,1,0,1,1,0,1,1,1,1,0
3340698323,0,1,0,1,0,1,1,0,1,1,1,1,0
3341209958,0,1,0,1,0,1,1,0,1,1,1,1,0
3341720384,0,1,0,1,0,1,1,0,1,1,1,1,0
3342230535,0,1,0,1,0,1,1,0,1,1,1,1,0
3342741336,0,1,0,1,0,1,1,0,1,1,1,1,0
3343251278,0,1,0,1,0,1,1,0,1,1,1,1,0
3343762279,0,1,0,1,0,1,1,0,1,1,1,1,0
3344272380,0,1,0,1,0,1,1,0,1,1,1,1,0
3344783373,0,1,0,1,0,1,1,0,1,1,1,1,0
3345286019,0,1,0,1,0,1,1,0,1,1,1,1,0
3345796484,0,1,0,1,0,1,1,0,1,1,1,1,0
3346306796,0,1,0,1,0,1,1,0,1,1,1,1,0
3346817315,0,1,0,1,0,1,1,0,1,1,1,1,0
3347327280,0,1,0,1,0,1,1,0,1,1,1,1,0
3347838294,0,1,0,1,0,1,1,0,1,1,1,1,0
3348348327,0,1,0,1,0,1,1,0,1,1,1,1,0
3348859457,0,1,0,1,0,1,1,0,1,1,1,1,0
3349369000,0,1,0,1,0,1,1,0,1,1,1,1,0
3349879392,0,1,0,1,0,1,1,0,1,1,1,1,0
3350389277,0,1,0,1,0,1,1,0,1,1,1,1,0
