timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_angle_clipping,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
3122460034,3122459552,3670026,3670026,1.2687822e-05,1.9763635e-05,4.0793097e-06,0.0013519434,-2.5395364e-05,-0.049117353,4995,4995,0,0,1,1
3122954546,3122954083,3670026,3670026,8.7691e-06,3.3134078e-05,6.84068e-06,0.0014060391,-0.00025087685,-0.048681688,4996,4996,0,0,1,1
3123454106,3123453608,3670026,3670026,1.5253959e-05,-2.1207488e-06,1.6453367e-05,0.0012457472,-0.0004455465,-0.049149897,4996,4996,0,0,1,1
3123953589,3123953133,3670026,3670026,2.3491612e-06,4.2014068e-05,1.408866e-05,0.0014706232,-0.0001342274,-0.049034238,4995,4995,0,0,1,1
3124458131,3124457654,3670026,3670026,2.1068472e-05,7.6996905e-05,-1.2039346e-06,0.001744463,0.0005668062,-0.048208397,4996,4996,0,0,1,1
3124957668,3124957179,3670026,3670026,1.2123638e-05,8.892906e-06,1.0164336e-05,0.001546845,-0.00013960953,-0.049154416,4995,4995,0,0,1,1
3125457182,3125456705,3670026,3670026,8.235817e-06,1.6406808e-05,1.232933e-05,0.0015501657,-0.00023353005,-0.04904912,4996,4996,0,0,1,1
3125956717,3125956230,3670026,3670026,1.1790967e-05,1.2681162e-05,9.632276e-06,0.0012697111,-0.0003225823,-0.049135573,4995,4995,0,0,1,1
3126456405,3126455758,3670026,3670026,-1.2696738e-06,-3.035388e-06,1.3359852e-05,0.0012943974,-0.00018246374,-0.049189005,4998,4998,4,0,1,1
3126955739,3126955283,3670026,3670026,1.13950455e-05,3.758363e-05,-2.3019138e-06,0.0010886551,-2.4491077e-05,-0.049265034,4997,4997,0,0,1,1
3127455316,3127454807,3670026,3670026,3.7816103e-06,-5.8220166e-07,1.0460021e-05,0.0014729886,-0.00012406589,-0.049255997,4995,4995,0,0,1,1
3127954947,3127954333,3670026,3670026,2.3169345e-05,3.7320086e-05,8.998926e-06,0.0014598643,-0.00013691987,-0.049089838,4995,4995,0,0,1,1
3128454333,3128453859,3670026,3670026,7.60919e-05,1.5209309e-05,6.308396e-06,0.0005187912,-0.0008582159,-0.05161037,4996,4996,0,0,1,1
3128958868,3128958380,3670026,3670026,6.303962e-05,2.5513498e-05,-1.6078534e-06,0.0001324467,0.0008963424,-0.04865419,4995,4995,0,0,1,1
3129458451,3129457906,3670026,3670026,2.443466e-05,3.9358158e-05,6.2419367e-06,0.0007334989,-0.00039740172,-0.04925456,4996,4996,0,0,1,1
3129952906,3129952436,3670026,3670026,1.3850021e-05,1.2908894e-05,1.14314735e-05,0.0014449125,-0.0002699609,-0.049038403,4995,4995,0,0,1,1
3130457447,3130456958,3670026,3670026,-3.1401453e-06,-1.5691887e-05,1.7617967e-05,0.0017143363,-0.0005529005,-0.0486837,4996,4996,0,0,1,1
3130956959,3130956483,3670026,3670026,9.634478e-06,-2.2334307e-05,1.674748e-05,0.0012990319,-0.00020266103,-0.04913169,4995,4995,0,0,1,1
3131456469,3131456010,3670026,3670026,7.0050664e-06,-9.897087e-07,1.4491392e-05,0.0013267858,-0.00023173583,-0.04887449,4996,4996,0,0,1,1
3131956015,3131955536,3670026,3670026,4.308091e-06,2.8201066e-05,8.469808e-06,0.0016293813,9.179724e-05,-0.049094025,4995,4995,0,0,1,1
3132455528,3132455063,3670026,3670026,-1.4688886e-06,-3.4446956e-07,1.4654139e-05,0.0014864423,-0.000115431365,-0.049186643,4996,4996,0,0,1,1
