timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode
3154131446,0,0,1,0,0,0,0
3154642276,0,0,1,0,0,0,0
3155152314,0,0,1,0,0,0,0
3155652471,0,0,1,0,0,0,0
3156162272,0,0,1,0,0,0,0
3156663388,0,0,1,0,0,0,0
3157165415,0,0,1,0,0,0,0
3157675505,0,0,1,0,0,0,0
3158186503,0,0,1,0,0,0,0
3158697324,0,0,1,0,0,0,0
3159208275,0,0,1,0,0,0,0
3159708437,0,0,1,0,0,0,0
3160218288,0,0,1,0,0,0,0
3160729616,0,0,1,0,0,0,0
3161240126,0,0,1,0,0,0,0
3161750384,0,0,1,0,0,0,0
3162260568,0,0,1,0,0,0,0
3162761276,0,0,1,0,0,0,0
3163271674,0,0,1,0,0,0,0
3163781279,0,0,1,0,0,0,0
3164281956,0,0,1,0,0,0,0
3164791275,0,0,1,0,0,0,0
3165293378,0,0,1,0,0,0,0
3165803275,0,0,1,0,0,0,0
3166304809,0,0,1,0,0,0,0
3166814810,0,0,1,0,0,0,0
3167325409,0,0,1,0,0,0,0
3167835551,0,0,1,0,0,0,0
3168346276,0,0,1,0,0,0,0
3168846557,0,0,1,0,0,0,0
3169357274,0,0,1,0,0,0,0
3169867376,0,0,1,0,0,0,0
3170367419,0,0,1,0,0,0,0
3170877379,0,0,1,0,0,0,0
3171377525,0,0,1,0,0,0,0
3171889121,0,0,1,0,0,0,0
3172399674,0,0,1,0,0,0,0
3172910276,0,0,1,0,0,0,0
3173420274,0,0,1,0,0,0,0
3173930274,0,0,1,0,0,0,0
3174441527,0,0,1,0,0,0,0
3174952316,0,0,1,0,0,0,0
3175452374,0,0,1,0,0,0,0
3175962277,0,0,1,0,0,0,0
3176473274,0,0,1,0,0,0,0
3176984227,0,0,1,0,0,0,0
3177494824,0,0,1,0,0,0,0
3178005387,0,0,1,0,0,0,0
3178515990,0,0,1,0,0,0,0
3179027195,0,0,1,0,0,0,0
3179528550,0,0,1,0,0,0,0
3180029310,0,0,1,0,0,0,0
3180538352,0,0,1,0,0,0,0
3181049326,0,0,1,0,0,0,0
3181549963,0,0,1,0,0,0,0
3182060479,0,0,1,0,0,0,0
3182570308,0,0,1,0,0,0,0
3183070352,0,0,1,0,0,0,0
3183581340,0,0,1,0,0,0,0
3184091416,0,0,1,0,0,0,0
3184591561,0,0,1,0,0,0,0
3185101275,0,0,1,0,0,0,0
3185601325,0,0,1,0,0,0,0
3186102407,0,0,1,0,0,0,0
3186613457,0,0,1,0,0,0,0
3187123726,0,0,1,0,0,0,0
