timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],gyro_clipping[0],gyro_clipping[1],gyro_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
3072927311,3670026,3670026,0,0,0,0,0,0,0,0,800.7727,800.7727,4003.8633,8007.7266,0.023347432,0.0067621726,2.5423624e-10,0.18081924,-0.19762425,-9.838436,0.007938757,-0.0024989329,-0.005098685,0.016536405,0.0067391386,0.011375615,2.7850912e-05,6.192466e-05,8.337095e-06,36.08859,36.08859
3073871432,3670026,3670026,0,0,0,0,0,0,0,0,800.77264,800.77264,4003.8628,8007.7256,0.03312518,0.006816206,2.5143204e-10,0.17985015,-0.19405575,-9.840169,0.008108691,-0.0028641664,-0.004823492,0.0011595408,0.00063949334,0.0007016477,1.1449851e-05,5.867897e-05,5.8638716e-06,36.089348,36.089348
3074910564,3670026,3670026,0,0,0,0,0,0,0,0,800.7725,800.7725,4003.8625,8007.725,0.02273299,0.0066793817,2.424437e-10,0.18177378,-0.19419968,-9.836027,0.008421581,-0.0020706079,-0.005121259,0.0005190879,0.0003334014,0.0003511015,9.083621e-06,4.948779e-05,5.1619295e-06,36.092354,36.092354
3075854537,3670026,3670026,0,0,0,0,0,0,0,0,800.77246,800.77246,4003.862,8007.724,0.02282176,0.007050732,2.6447214e-10,0.17731345,-0.19338879,-9.841161,0.008077621,-0.0018946489,-0.0056896536,0.0037843292,0.0036131258,0.002597376,9.885065e-06,6.471707e-05,7.2751664e-06,36.0971,36.0971
3076898502,3670026,3670026,0,0,0,0,0,0,0,0,800.7723,800.7723,4003.8613,8007.7227,0.024649974,0.006686301,2.3084054e-10,0.18699856,-0.18971768,-9.839993,0.008693953,-0.0027703217,-0.004956016,0.00050271256,0.00030206787,0.0003787783,8.343042e-06,5.1697432e-05,5.110232e-06,36.11628,36.11628
3077942546,3670026,3670026,0,0,0,0,0,0,0,0,800.77216,800.77216,4003.8608,8007.7217,0.022147741,0.0068642325,2.544968e-10,0.18377209,-0.19734493,-9.83782,0.00855699,-0.002957377,-0.0052274046,0.0006422446,0.000573998,0.00027403413,1.0761108e-05,4.6958256e-05,6.989417e-06,36.114174,36.114174
3078881609,3670026,3670026,0,0,0,0,0,0,0,0,800.77216,800.77216,4003.8606,8007.721,0.02255734,0.007122283,2.352365e-10,0.18601808,-0.19334888,-9.840831,0.008372471,-0.0021806217,-0.005199505,0.0007031325,0.00087738916,0.0004204858,9.951306e-06,5.2249983e-05,7.119901e-06,36.12683,36.12683
3079930584,3670026,3670026,0,0,0,0,0,0,0,0,800.7721,800.7721,4003.86,8007.72,0.02352938,0.006915189,2.6664085e-10,0.17632155,-0.19765845,-9.840117,0.008163223,-0.0025686824,-0.005273059,0.059288315,0.0020359843,0.006906655,2.5734204e-05,7.072707e-05,7.2685925e-06,36.13418,36.13418
3080874714,3670026,3670026,0,0,0,0,0,0,0,0,800.7719,800.7719,4003.8596,8007.719,0.02311225,0.0065865205,2.4566127e-10,0.17856754,-0.19561198,-9.832758,0.008032601,-0.0021844262,-0.005038447,0.00037947018,0.00036612328,0.0003088595,1.0187902e-05,5.091491e-05,6.4536725e-06,36.14349,36.14349
3081918696,3670026,3670026,0,0,0,0,0,0,0,0,800.77185,800.77185,4003.8594,8007.7188,0.021962015,0.006902491,2.3269897e-10,0.18185672,-0.19312087,-9.838984,0.007995824,-0.0022668573,-0.0050631766,0.00057640846,0.00039070673,0.0002557501,1.0926056e-05,5.099844e-05,5.3371523e-06,36.152245,36.152245
