timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield,dead_reckoning
3161009106,3161008062,0,nan,nan,-0.0003340777,0.0001107446,3.423249,-0.8960409,-0.12411072,0.0,-0.0010582843,0.00011564736,-0.0012112674,-0.004975776,-0.35385558,-0.015222848,-0.0014915153,0.013495408,-0.009656254,-0.0039617172,-0.07183085,2.4454362,nan,0.09754276,0.013808567,0.26779503,0.040660776,0.06973715,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3161098780,3161097974,0,nan,nan,-0.00043824976,9.6288226e-05,3.4223595,-0.8960409,-0.12411072,0.0,-0.0007449776,6.6281784e-05,-0.0013410607,-0.0054945783,-0.35385558,-0.015222848,-0.0014915153,0.023499228,-0.003520404,0.0025409502,-0.07171563,2.4454362,nan,0.097513676,0.016787518,0.26888368,0.044876955,0.07155257,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3161208693,3161207871,0,nan,nan,-0.0004883522,2.5782276e-05,3.4209254,-0.8960409,-0.12411072,0.0,-0.00079779763,-0.0004249986,-0.0014087209,-0.0062958915,-0.35385558,-0.015222848,-0.0014915153,-0.00921373,0.0011929738,0.01329566,-0.07168835,2.4454362,nan,0.0977335,0.013508189,0.26764715,0.040184293,0.06953444,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3161298683,3161297786,0,nan,nan,-0.0005123619,-3.283224e-05,3.419782,-0.8960409,-0.12411072,0.0,-0.00060697045,-0.00044072935,-0.0015106266,-0.00691883,-0.35385558,-0.015222848,-0.0014915153,0.004506541,-0.008155681,0.00086587487,-0.071736835,2.4454362,nan,0.09744525,0.016432948,0.26872438,0.04441428,0.07134965,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3161398582,3161397692,0,nan,nan,-0.0004738777,-8.230352e-05,3.4183416,-0.8960409,-0.12411072,0.0,-0.0002912911,-0.00033116955,-0.0016397174,-0.007707517,-0.35385558,-0.015222848,-0.0014915153,0.0022148695,-0.00595983,-0.0024458552,-0.071805626,2.4454362,nan,0.097310066,0.012926835,0.26721627,0.039225426,0.069122836,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3161498439,3161497597,0,nan,nan,-0.0004109143,-0.00012363902,3.4167838,-0.8960409,-0.12411072,0.0,5.039374e-05,-0.0002442575,-0.0016337481,-0.008419863,-0.35385558,-0.015222848,-0.0014915153,0.00069127494,-0.008361347,0.0067174514,-0.0718094,2.4454362,nan,0.09728122,0.0160841,0.26856536,0.04395013,0.07114639,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3161598319,3161597503,0,nan,nan,-0.0003265009,-0.00013263327,3.4152384,-0.8960409,-0.12411072,0.0,0.00012463411,-4.9438808e-05,-0.0017038332,-0.009130371,-0.35385558,-0.015222848,-0.0014915153,0.005414393,0.031099744,-0.015614898,-0.07181174,2.4454362,nan,0.09704852,0.012646046,0.26706892,0.03874282,0.06891929,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3161708231,3161707401,0,nan,nan,-0.00022065955,-0.000114936614,3.413765,-0.8960409,-0.12411072,0.0,0.00022831357,-0.0002145247,-0.0016687,-0.009490123,-0.35385558,-0.015222848,-0.0014915153,-0.009001185,0.008928726,-0.009538786,-0.07183287,2.4454362,nan,0.0979228,0.016084043,0.26870215,0.043949876,0.071152024,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3161798274,3161797315,0,nan,nan,-0.0001765504,-0.00010178323,3.4122128,-0.8960409,-0.12411072,0.0,-1.614756e-05,0.00016265445,-0.0019101385,-0.010344544,-0.35385558,-0.015222848,-0.0014915153,-0.006610669,0.0032480373,0.014010668,-0.07184677,2.4454362,nan,0.09735584,0.012371959,0.2669221,0.038258072,0.06871576,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
3161908181,3161907211,0,nan,nan,-0.00012563466,-5.48799e-05,3.4102945,-0.8960409,-0.12411072,0.0,0.00014515125,0.00021254168,-0.0020111555,-0.011141972,-0.35385558,-0.015222848,-0.0014915153,-0.0146963075,-0.0071504605,-0.002857037,-0.0719224,2.4454362,nan,0.09723306,0.015740998,0.26854074,0.043484386,0.07094809,inf,inf,inf,inf,0,1,0,1,3,1,3,1,1,0,0,0,0,0,1
