timestamp,voltage5v_v,sensors3v3[0],sensors3v3[1],sensors3v3[2],sensors3v3[3],sensors3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc,comp_5v_valid,can1_gps1_5v_valid
3178585320,5.104687,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3179085298,5.0724607,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3179585372,5.082129,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3180085761,5.0853515,3.3241699,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3180585379,5.0611815,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3181085299,5.10791,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3181585407,5.078906,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3182085300,5.041846,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3182585329,5.0756836,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3183085300,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3183585296,5.040234,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3184085332,5.077295,3.3177245,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3184585298,5.077295,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3185085304,5.040234,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3185586128,5.1111326,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3186085829,5.104687,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3186585321,5.104687,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3187085296,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3187585297,5.106299,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3188085532,5.041846,3.3241699,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3188585306,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3189085298,5.078906,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3189585404,5.077295,3.3177245,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3190085298,5.078906,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3190585337,5.0708494,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3191085576,5.0756836,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3191585297,5.1111326,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3192085493,5.10791,3.325781,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3192585300,5.0756836,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3193085299,5.0740724,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3193585408,5.082129,3.3161132,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3194085298,5.104687,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3194585319,5.064404,3.3177245,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3195085302,5.104687,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3195585305,5.077295,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3196086135,5.077295,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3196585908,5.0756836,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3197085391,5.0756836,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3197585408,5.0756836,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3198085300,5.0756836,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3198585323,5.0982423,3.3161132,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3199085308,5.0740724,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3199585302,5.0982423,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3200085467,5.078906,3.3161132,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3200585300,5.078906,3.325781,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3201085298,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3201585678,5.1111326,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3202085297,5.082129,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3202585341,5.0853515,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3203085300,5.069238,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3203585297,5.106299,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3204085623,5.106299,3.3241699,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3204585298,5.1014647,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3205085298,5.1014647,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3205585474,5.104687,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3206085306,5.1111326,3.3241699,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3206585325,5.043457,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3207085866,5.08374,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3207586009,5.08374,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3208085298,5.1095214,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3208585326,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3209085298,5.0805173,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3209585455,5.106299,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3210085299,5.10791,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3210585320,5.10791,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3211085299,5.082129,3.325781,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3211585328,5.1014647,3.3161132,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3212085301,5.078906,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3212585412,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3213085330,5.1095214,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3213585474,5.0805173,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3214085332,5.078906,3.3209472,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3214585297,5.08374,3.3225586,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3215085346,5.10791,3.3177245,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3215585298,5.057959,3.319336,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
3216085299,5.106299,3.325781,0.0,0.0,0.0,1,0,1,0,1,0,0,0,0
