timestamp,data_type
1701886803.4912894,IMU
1701886803.4962845,IMU
1701886803.5012803,IMU
1701886803.5062754,IMU
1701886803.5112703,IMU
1701886803.5162666,IMU
1701886803.5212617,IMU
1701886803.5262575,IMU
1701886803.5312524,IMU
1701886803.5362475,IMU
1701886803.5412436,IMU
1701886803.5462384,IMU
1701886803.5512345,IMU
1701886803.5562296,IMU
1701886803.5612245,IMU
1701886803.5662196,IMU
1701886803.5712154,IMU
1701886803.5762105,IMU
1701886803.5812066,IMU
1701886803.5862014,IMU
1701886803.5911975,IMU
1701886803.5961926,IMU
1701886803.6011877,IMU
1701886803.6061826,IMU
1701886803.6111784,IMU
1701886803.6161735,IMU
1701886803.6211684,IMU
1701886803.6261635,IMU
1701886803.6311595,IMU
1701886803.6361544,IMU
1701886803.6411505,IMU
1701886803.6461456,IMU
1701886803.6511405,IMU
1701886803.6561365,IMU
1701886803.6611314,IMU
1701886803.6661274,IMU
1701886803.6711226,IMU
1701886803.6761174,IMU
1701886803.6811135,IMU
1701886803.6861086,IMU
1701886803.6911037,IMU
1701886803.6960995,IMU
1701886803.7010944,IMU
1701886803.7060895,IMU
1701886803.7110925,IMU
1701886803.7160804,IMU
1701886803.7210765,IMU
1701886803.7260716,IMU
1701886803.7310665,IMU
1701886803.7360623,IMU
1701886803.7410574,IMU
1701886803.7460525,IMU
1701886803.7510476,IMU
1701886803.7560434,IMU
1701886803.7610383,IMU
1701886803.7660346,IMU
1701886803.7710297,IMU
1701886803.7760246,IMU
1701886803.7810204,IMU
1701886803.7860155,IMU
1701886803.7910116,IMU
1701886803.7960064,IMU
1701886803.8010015,IMU
1701886803.8059964,IMU
1701886803.8109925,IMU
1701886803.8159876,IMU
1701886803.8209825,IMU
1701886803.8259785,IMU
1701886803.8309734,IMU
1701886803.8359685,IMU
1701886803.8409646,IMU
1701886803.8459594,IMU
1701886803.8509555,IMU
1701886803.8559506,IMU
1701886803.8609464,IMU
1701886803.8659415,IMU
1701886803.8709364,IMU
1701886803.8759325,IMU
1701886803.8809276,IMU
1701886803.8859224,IMU
1701886803.8909185,IMU
1701886803.8959136,IMU
1701886803.9009085,IMU
1701886803.9059043,IMU
1701886803.9108994,IMU
1701886803.9158945,IMU
1701886803.9208906,IMU
1701886803.9258854,IMU
1701886803.9308803,IMU
1701886803.9358766,IMU
1701886803.9408717,IMU
1701886803.9458675,IMU
1701886803.9508624,IMU
1701886803.9558575,IMU
1701886803.9608524,IMU
1701886803.9658484,IMU
1701886803.9708436,IMU
1701886803.9758394,IMU
1701886803.9808345,IMU
1701886803.9858296,IMU
1701886803.9908254,IMU
1701886803.9958203,IMU
1701886804.0008154,IMU
1701886804.0058117,IMU
1701886804.0108066,IMU
1701886804.0158014,IMU
1701886804.0207975,IMU
